FIPS,state,county,monthly_housing,annual_transportation ,total_cost,life_expectancy,male_life_expectancy,female_life_expectancy,,,
37007,NC,Anson,815,12615,22395,75.05,74.4,75.69,,,
26143,MI,Roscommon,868,11987,22403,77.13,76.56,77.71,,,
13069,GA,Coffee,821,12560,22412,74.89,74.35,75.46,,,
47069,TN,Hardeman,834,12406,22414,74.65,74.01,75.32,,,
12047,FL,Hamilton,876,11909,22421,75.92,75.17,76.64,,,
47017,TN,Carroll,795,12881,22421,73.69,73.06,74.28,,,
47181,TN,Wayne,775,13122,22422,75.44,74.7,76.21,,,
29065,MO,Dent,775,13124,22424,76,75.35,76.69,,,
5061,AR,Howard,805,12767,22427,74.84,74.07,75.51,,,
45011,SC,Barnwell,815,12661,22441,73.94,73.22,74.63,,,
21199,KY,Pulaski,840,12363,22443,75.19,74.7,75.66,,,
21125,KY,Laurel,847,12289,22453,75.49,75.01,75.99,,,
21001,KY,Adair,785,13035,22455,76.84,76.2,77.47,,,
40127,OK,Pushmataha,787,13015,22459,73.94,73.15,74.73,,,
21197,KY,Powell,847,12297,22461,71.6,70.83,72.39,,,
19093,IA,Ida,669,14434,22462,79.51,78.78,80.27,,,
29221,MO,Washington,791,12985,22477,78.64,78.06,79.19,,,
18041,IN,Fayette,842,12392,22496,75.84,75.23,76.45,,,
51089,VA,Henry,848,12320,22496,76.21,75.65,76.81,,,
54107,WV,Wood,864,12135,22503,76.56,76.17,77,,,
47109,TN,McNairy,786,13075,22507,76.53,76.08,76.97,,,
47177,TN,Warren,786,13075,22507,74.99,74.46,75.53,,,
54081,WV,Raleigh,863,12155,22511,75.17,74.73,75.65,,,
28025,MS,Clay,844,12385,22513,75.1,74.44,75.8,,,
31129,NE,Nuckolls,710,13993,22513,80.12,79.23,81.01,,,
39009,OH,Athens,908,11618,22514,76.9,76.4,77.39,,,
28155,MS,Webster,799,12931,22519,73.01,72.16,73.86,,,
40135,OK,Sequoyah,779,13176,22524,74.31,73.73,74.88,,,
28163,MS,Yazoo,750,13526,22526,73.51,72.85,74.21,,,
21043,KY,Carter,807,12843,22527,74.99,74.33,75.61,,,
45025,SC,Chesterfield,837,12484,22528,74.2,73.64,74.75,,,
54039,WV,Kanawha,887,11885,22529,75.61,75.27,75.97,,,
20207,KS,Woodson,749,13546,22534,76.91,75.88,77.86,,,
2170,AK,Matanuska-Susitna,838,12492,22548,75.15,73.95,76.24,,,
48487,TX,Wilbarger,793,13033,22549,75.57,74.83,76.23,,,
29201,MO,Scott,811,12823,22555,78.07,77.18,78.93,,,
47131,TN,Obion,821,12703,22555,75.28,74.71,75.86,,,
28101,MS,Newton,767,13357,22561,74.31,73.62,74.98,,,
26035,MI,Clare,839,12494,22562,76.22,75.69,76.75,,,
5001,AR,Arkansas,841,12475,22567,74.57,73.9,75.21,,,
5079,AR,Lincoln,821,12715,22567,76.27,75.46,77.05,,,
28017,MS,Chickasaw,814,12809,22577,75.35,74.61,76.05,,,
51141,VA,Patrick,818,12772,22588,78.17,77.46,78.85,,,
5057,AR,Hempstead,813,12834,22590,75.08,74.44,75.79,,,
5097,AR,Montgomery,804,12942,22590,77.1,76.37,77.88,,,
8023,CO,Costilla,752,13566,22590,77.72,76.62,78.81,,,
13107,GA,Emanuel,811,12858,22590,73.37,72.71,74.05,,,
29039,MO,Cedar,828,12655,22591,76.71,76.01,77.42,,,
40061,OK,Haskell,776,13279,22591,75.04,74.31,75.76,,,
28069,MS,Kemper,729,13849,22597,76.61,75.78,77.5,,,
35007,NM,Colfax,907,11716,22600,78.54,77.78,79.27,,,
4001,AZ,Apache,724,13918,22606,74.28,73.7,74.86,,,
13071,GA,Colquitt,810,12889,22609,74.78,74.21,75.35,,,
48389,TX,Reeves,770,13373,22613,77.33,76.59,78.09,,,
45027,SC,Clarendon,867,12212,22616,75.31,74.69,75.91,,,
1041,AL,Crenshaw,788,13173,22629,74.07,73.33,74.82,,,
40107,OK,Okfuskee,783,13239,22635,73.04,72.28,73.89,,,
21181,KY,Nicholas,778,13300,22636,73.84,72.95,74.73,,,
40077,OK,Latimer,769,13412,22640,75.63,74.81,76.41,,,
1057,AL,Fayette,829,12694,22642,73.98,73.28,74.71,,,
38005,ND,Benson,680,14485,22645,74.36,73.29,75.47,,,
13091,GA,Dodge,860,12333,22653,74.99,74.32,75.67,,,
18177,IN,Wayne,872,12189,22653,76.54,76.09,77,,,
20029,KS,Cloud,804,13011,22659,78.52,77.8,79.2,,,
40133,OK,Seminole,792,13155,22659,72.75,72.1,73.39,,,
51167,VA,Russell,818,12847,22663,76.13,75.59,76.68,,,
51185,VA,Tazewell,865,12287,22667,76.34,75.2,77.54,,,
